time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,0,2.0,1033186.0,0.0,0.0,0,0
1.0,1,2.0,978407.0,0.7,4.3,0,-4.0
1.2,2,1.0,1617913.0,0.7,4.3,0,-4.0
2.0,3,1.0,1900520.0,0.7,4.3,0,-4.0
2.2,4,2.0,965538.0,0.7,4.3,0,-4.0
2.6,5,1.0,1626452.0,1.0,4.7,0,-4.0
5.7,6,2.0,946146.0,1.0,4.7,0,-4.0
6.3,7,1.0,2260880.0,1.0,4.7,0,-4.0
8.5,8,2.0,1015775.0,1.0,4.7,0,-4.0
8.9,9,1.0,2836506.0,1.3,4.7,0,-3.0
10.9,10,1.0,2405020.0,1.6,4.7,0,-3.0
13.3,11,2.0,1021402.0,2.8,5.6,0,-3.0
17.3,12,2.0,1210448.0,5.8,7.4,0,-2.0
21.3,13,2.0,966109.0,6.5,9.7,0,-3.0
25.2,14,2.0,1221156.0,8.0,10.5,0,-2.0
29.3,15,1.0,1822541.0,8.7,11.3,0,-3.0
33.3,16,2.0,1654315.0,10.2,12.1,0,-2.0
37.2,17,1.0,1631066.0,11.7,12.1,0,-0.0
41.3,18,2.0,822028.0,12.4,12.9,0,-0.0
45.3,19,1.0,2600045.0,13.1,12.9,0,0.0
49.3,20,2.0,1159726.0,13.8,12.9,0,1.0
53.3,21,1.0,2549324.0,15.3,13.7,0,2.0
57.3,22,1.0,1381375.0,18.3,15.2,0,3.0
61.3,23,2.0,847139.0,19.0,17.5,0,2.0
65.3,24,2.0,883330.0,20.5,18.3,0,2.0
69.3,25,2.0,761827.0,22.0,18.3,0,4.0
73.3,26,2.0,795144.0,23.2,18.6,0,5.0
77.2,27,2.0,607501.0,23.9,19.1,0,5.0
81.3,28,1.0,1460385.0,28.9,23.4,0,6.0
85.3,29,2.0,780794.0,33.9,23.4,0,10.0
89.3,30,2.0,606562.0,35.4,26.9,0,8.0
93.3,31,2.0,795026.0,36.9,26.9,0,10.0
97.3,32,1.0,1126536.0,37.6,27.7,0,10.0
101.3,33,2.0,929251.0,38.3,27.7,0,11.0
105.2,34,1.0,1113782.0,39.0,27.7,0,11.0
109.3,35,1.0,1323538.0,40.2,28.2,0,12.0
113.3,36,1.0,1291681.0,40.5,29.1,0,11.0
117.3,37,2.0,714247.0,40.8,29.1,0,12.0
121.3,38,1.0,825259.0,41.5,29.5,0,12.0
125.3,39,2.0,1397654.0,43.0,30.3,0,13.0
129.3,40,2.0,1924607.0,43.3,31.5,0,12.0
133.3,41,2.0,2194909.0,44.0,31.9,0,12.0
137.2,42,2.0,1738850.0,44.7,31.9,0,13.0
141.3,43,2.0,1337501.0,45.9,32.4,0,14.0
145.3,44,2.0,972405.0,46.6,32.9,0,14.0
149.3,45,1.0,3480442.0,47.8,33.4,0,14.0
153.3,46,2.0,1332419.0,48.5,33.9,0,15.0
157.3,47,2.0,918423.0,49.2,33.9,0,15.0
161.3,48,2.0,924179.0,50.7,34.7,0,16.0
165.3,49,2.0,620868.0,52.2,34.7,0,18.0
169.3,50,1.0,2232616.0,53.7,34.7,0,19.0
173.3,51,2.0,733972.0,55.2,34.7,0,20.0
177.3,52,1.0,1511399.0,55.9,35.5,0,20.0
181.2,53,1.0,1047445.0,56.6,35.5,0,21.0
185.3,54,2.0,428303.0,58.1,36.3,0,22.0
189.3,55,1.0,1188713.0,58.8,37.1,0,22.0
193.3,56,2.0,569562.0,60.3,37.9,0,22.0
197.3,57,1.0,1335110.0,65.3,41.4,0,24.0
201.3,58,1.0,697068.0,66.0,45.7,0,20.0
205.3,59,2.0,662631.0,74.5,51.7,0,23.0
