time,playID,playQuality,buffer_size
1.2,0,1,0
5.2,1,0,12
9.2,2,0,16
13.2,3,2,20
17.2,4,3,28
21.2,5,3,28
25.2,6,2,28
29.2,7,2,28
33.2,8,2,28
37.2,9,2,28
41.2,10,1,28
45.2,11,1,28
49.2,12,1,28
53.2,13,1,28
57.2,14,3,28
61.2,15,3,28
65.2,16,2,28
69.2,17,1,28
73.2,18,1,28
77.2,19,1,28
81.2,20,1,24
85.2,21,3,28
89.2,22,3,28
93.2,23,3,28
97.2,24,3,28
101.2,25,3,24
105.2,26,3,24
109.2,27,3,28
113.2,28,2,28
117.2,29,1,28
121.2,30,1,28
125.2,31,1,24
129.2,32,2,28
133.2,33,2,28
137.2,34,2,28
141.2,35,1,28
145.2,36,1,28
149.2,37,1,28
153.2,38,3,24
157.2,39,1,28
161.2,40,1,24
165.3,41,1,28
169.3,42,2,28
173.3,43,3,28
177.3,44,1,28
181.3,45,1,24
185.3,46,1,24
189.3,47,1,28
193.3,48,1,28
197.3,49,0,24
201.3,50,2,24
205.3,51,3,28
209.3,52,3,28
213.3,53,3,24
217.3,54,3,20
221.3,55,3,16
225.3,56,2,12
229.3,57,3,8
233.3,58,1,4
237.3,59,1,0
