time,playID,playQuality,buffer_size
1.2,0,1,0
5.2,1,0,12
9.2,2,0,16
13.2,3,0,20
17.2,4,1,28
21.2,5,3,28
25.2,6,1,28
29.2,7,1,28
33.2,8,1,28
37.2,9,1,28
41.2,10,0,28
45.2,11,0,28
49.2,12,0,28
53.2,13,0,24
57.2,14,1,28
61.2,15,1,28
65.2,16,1,28
69.2,17,1,28
73.2,18,3,28
77.2,19,3,28
81.2,20,4,24
85.2,21,1,24
89.2,22,4,28
93.2,23,6,28
97.2,24,6,24
101.2,25,6,28
105.2,26,3,24
109.2,27,1,28
113.2,28,4,28
117.2,29,3,28
121.2,30,1,24
125.2,31,2,28
129.2,32,3,28
133.2,33,1,28
137.2,34,3,28
141.2,35,0,28
145.2,36,3,24
149.2,37,3,28
153.2,38,0,24
157.2,39,1,24
161.2,40,0,28
165.2,41,1,24
169.2,42,1,28
173.2,43,3,28
177.2,44,1,28
181.2,45,1,24
185.2,46,1,28
189.2,47,1,28
193.2,48,0,28
197.2,49,3,28
201.2,50,3,28
205.2,51,0,24
209.2,52,3,28
213.2,53,0,24
217.2,54,1,20
221.2,55,3,16
225.2,56,3,12
229.2,57,3,8
233.2,58,1,4
237.2,59,3,0
