time,playID,playQuality,buffer_size
0.8,0,1,0
4.8,1,0,16
8.8,2,1,20
12.8,3,0,24
16.8,4,6,24
20.8,5,1,24
24.8,6,1,24
28.8,7,4,28
32.8,8,2,24
36.8,9,4,28
40.8,10,6,28
44.8,11,1,24
48.8,12,4,28
52.8,13,0,28
56.8,14,6,28
60.8,15,0,24
64.8,16,3,24
68.8,17,0,24
72.8,18,3,28
76.8,19,1,28
80.8,20,1,28
84.8,21,3,28
88.8,22,2,28
92.8,23,6,28
96.8,24,1,28
100.8,25,2,28
104.8,26,0,28
108.8,27,0,24
112.8,28,0,28
116.8,29,0,24
120.8,30,0,28
124.8,31,0,28
128.8,32,1,28
132.8,33,1,24
136.8,34,3,28
140.8,35,1,28
144.8,36,3,28
148.8,37,3,28
152.8,38,3,28
156.8,39,3,28
160.8,40,2,28
164.8,41,2,28
168.8,42,3,28
172.8,43,3,28
176.8,44,1,28
180.8,45,1,24
184.8,46,1,28
188.8,47,3,28
192.8,48,1,28
196.8,49,2,28
200.8,50,1,28
204.8,51,2,28
208.8,52,1,24
212.8,53,1,24
216.8,54,2,20
220.8,55,3,16
224.8,56,3,12
228.8,57,4,8
232.8,58,6,4
236.8,59,6,0
