time,playID,playQuality,buffer_size
0.4,0,1,0
4.4,1,0,8
8.4,2,1,20
12.4,3,0,28
16.4,4,6,28
20.4,5,1,28
24.4,6,3,28
28.4,7,0,28
32.4,8,0,28
36.4,9,3,24
40.4,10,0,28
44.4,11,3,28
48.4,12,3,28
52.4,13,0,24
56.4,14,1,28
60.4,15,1,28
64.4,16,3,28
68.4,17,1,24
72.4,18,3,28
76.4,19,1,28
80.4,20,2,28
84.4,21,1,24
88.4,22,2,24
92.4,23,6,28
96.4,24,6,28
100.4,25,2,24
104.4,26,3,28
108.4,27,3,28
112.4,28,1,28
116.4,29,2,28
120.4,30,0,24
124.4,31,0,28
128.4,32,1,24
132.4,33,1,28
136.4,34,2,24
140.4,35,2,28
144.4,36,3,24
148.4,37,3,28
152.4,38,0,24
156.4,39,3,28
160.4,40,0,28
164.4,41,1,28
168.4,42,1,24
172.4,43,1,28
176.4,44,0,28
180.4,45,0,28
184.4,46,1,28
188.4,47,0,28
192.4,48,3,28
196.4,49,6,24
200.4,50,0,24
204.4,51,3,28
208.4,52,0,28
212.4,53,3,24
216.4,54,3,20
220.4,55,6,16
224.4,56,4,12
228.4,57,1,8
232.4,58,4,4
236.4,59,0,0
