time,playID,playQuality,buffer_size
0.6,0,1,0
4.6,1,0,8
8.6,2,0,16
12.6,3,1,24
16.6,4,3,28
20.6,5,4,28
24.6,6,2,28
28.6,7,3,28
32.6,8,2,28
36.6,9,2,28
40.6,10,1,28
44.6,11,3,24
48.6,12,1,28
52.6,13,3,28
56.6,14,3,28
60.6,15,1,28
64.6,16,1,28
68.6,17,3,28
72.6,18,3,28
76.6,19,3,28
80.6,20,1,28
84.6,21,3,24
88.6,22,3,28
92.6,23,3,28
96.6,24,3,28
100.6,25,2,28
104.6,26,3,28
108.6,27,3,28
112.6,28,3,28
116.6,29,3,24
120.6,30,3,28
124.6,31,3,28
128.6,32,3,28
132.6,33,3,28
136.6,34,3,28
140.6,35,3,28
144.6,36,4,28
148.6,37,1,24
152.6,38,1,28
156.6,39,3,28
160.6,40,3,28
164.6,41,3,28
168.6,42,3,28
172.6,43,3,28
176.6,44,2,28
180.6,45,0,28
184.6,46,0,28
188.6,47,1,24
192.6,48,0,28
196.6,49,1,28
200.7,50,3,28
204.7,51,3,28
208.7,52,1,28
212.7,53,1,24
216.7,54,3,20
220.7,55,2,16
224.7,56,2,12
228.7,57,3,8
232.7,58,4,4
236.7,59,6,0
