time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,5,2.0,1278589.0,0.7,4.3,0,-4.0
2.6,3,1.0,239537.0,0.7,4.3,0,-4.0
6.5,1,2.0,2116518.0,0.7,4.3,2,-6.0
7.0,2,2.0,1770592.0,1.0,4.7,2,-6.0
7.3,4,1.0,1020664.0,1.0,4.7,2,-6.0
7.7,9,2.0,2330238.0,1.0,4.7,2,-6.0
10.9,5,1.0,2051488.0,1.3,4.7,2,-6.0
13.9,6,1.0,2116936.0,1.3,4.7,2,-6.0
14.4,6,2.0,1809283.0,3.1,5.9,2,-5.0
19.4,8,1.0,2248566.0,3.1,5.9,2,-5.0
20.8,8,2.0,1075927.0,6.1,7.4,2,-4.0
24.1,7,1.0,2081246.0,6.1,7.4,2,-4.0
26.9,10,1.0,2384908.0,9.1,7.4,2,-1.0
30.7,11,2.0,1225169.0,10.6,8.9,2,-1.0
31.7,12,1.0,1543925.0,17.6,11.4,2,4.0
39.2,14,1.0,1947000.0,17.6,11.4,2,4.0
40.1,14,2.0,810035.0,17.6,11.4,2,4.0
41.8,14,1.0,1794923.0,20.6,12.4,2,6.0
44.7,15,1.0,1589758.0,20.6,12.4,2,6.0
46.4,13,2.0,661694.0,20.6,12.4,2,6.0
47.0,15,1.0,1503625.0,23.6,12.4,2,9.0
49.5,16,1.0,2107386.0,26.6,12.4,2,12.0
54.7,17,1.0,1686541.0,26.6,12.4,4,10.0
55.5,14,2.0,1016478.0,28.1,13.9,5,10.0
58.0,18,2.0,645229.0,29.6,13.9,5,11.0
59.8,19,1.0,2092960.0,31.1,13.9,5,13.0
65.7,20,1.0,1859415.0,34.1,15.4,5,14.0
71.3,21,1.0,1992608.0,37.1,15.4,5,17.0
72.7,22,2.0,955268.0,37.1,15.4,5,17.0
73.8,22,1.0,2675661.0,40.1,15.4,5,20.0
76.5,25,1.0,2175669.0,43.1,15.4,5,23.0
80.1,26,2.0,813651.0,43.1,15.4,5,23.0
80.8,26,1.0,1875345.0,46.1,15.4,5,26.0
84.8,24,1.0,1710902.0,49.1,15.4,5,29.0
88.1,23,1.0,1532495.0,49.1,15.4,5,29.0
89.4,28,2.0,484255.0,49.1,15.4,5,29.0
89.7,28,1.0,1487066.0,53.6,16.9,5,32.0
97.8,27,1.0,2139108.0,56.6,18.4,5,34.0
101.0,29,1.0,2569031.0,60.6,19.4,5,37.0
105.4,30,1.0,1907317.0,64.6,19.4,5,41.0
111.3,31,1.0,1621409.0,67.6,20.4,5,43.0
114.5,32,2.0,945756.0,71.6,21.4,5,46.0
117.2,33,1.0,1694373.0,77.6,22.4,5,51.0
124.1,35,1.0,1987001.0,77.6,22.4,5,51.0
125.4,34,2.0,583088.0,80.6,22.4,5,54.0
130.0,36,1.0,1756450.0,83.6,22.4,5,57.0
135.3,37,1.0,2186162.0,86.6,22.4,5,59.0
139.5,38,1.0,3035042.0,86.6,22.4,21,43.0
142.9,38,1.0,2909953.0,86.6,22.4,34,30.0
145.3,38,2.0,470900.0,89.6,22.4,34,33.0
146.4,39,1.0,2570205.0,89.6,22.4,34,33.0
148.8,39,1.0,2221209.0,92.6,22.4,34,36.0
151.6,40,1.0,1539045.0,98.6,22.4,34,42.0
157.9,42,1.0,1942676.0,101.6,22.4,34,45.0
161.8,43,1.0,1837626.0,104.6,22.4,34,48.0
165.6,41,1.0,2462561.0,104.6,22.4,34,48.0
167.1,44,2.0,1876997.0,104.6,22.4,34,48.0
167.3,46,1.0,1618883.0,107.6,22.4,34,51.0
172.8,45,2.0,1933768.0,109.1,23.9,34,51.0
176.2,46,1.0,1490877.0,112.1,25.4,34,53.0
178.6,47,2.0,1198780.0,115.1,25.4,34,56.0
183.7,48,1.0,1155301.0,115.1,25.4,34,56.0
184.1,48,2.0,1123931.0,121.1,25.4,34,62.0
192.6,50,1.0,1203021.0,121.1,25.4,34,62.0
193.2,50,2.0,2219647.0,124.1,25.4,34,65.0
197.0,51,2.0,2060260.0,127.1,25.4,34,68.0
199.5,52,1.0,1276353.0,127.1,25.4,34,68.0
201.0,54,2.0,1980995.0,130.1,25.4,39,66.0
206.4,49,2.0,1732763.0,130.1,25.4,41,63.0
206.9,53,2.0,1307739.0,130.4,28.1,42,61.0
208.4,54,1.0,1134600.0,136.4,30.8,42,64.0
215.0,56,2.0,1272486.0,136.4,30.8,42,64.0
217.2,55,1.0,859822.0,139.4,30.8,42,67.0
222.2,57,2.0,1898231.0,142.4,30.8,42,70.0
224.4,58,1.0,1313918.0,145.4,30.8,42,73.0
227.0,59,2.0,1649877.0,164.4,32.8,42,90.0
