time,playID,playQuality,buffer_size
0.9,0,1,0
4.95,-1.0,-1.0,0
5.0,-1.0,-1.0,0
5.05,-1.0,-1.0,0
5.1,-1.0,-1.0,0
5.15,-1.0,-1.0,0
5.2,-1.0,-1.0,0
5.25,-1.0,-1.0,0
5.3,-1.0,-1.0,0
5.35,-1.0,-1.0,0
5.4,-1.0,-1.0,0
5.45,-1.0,-1.0,0
5.5,-1.0,-1.0,0
5.55,-1.0,-1.0,0
5.6,-1.0,-1.0,0
5.65,-1.0,-1.0,0
5.7,-1.0,-1.0,0
5.75,-1.0,-1.0,0
5.8,-1.0,-1.0,0
5.85,-1.0,-1.0,0
5.9,-1.0,-1.0,0
5.9,1,0,8
9.9,2,0,12
13.9,3,0,8
17.9,4,2,12
21.9,5,2,12
25.9,6,3,8
29.9,7,1,8
33.9,8,1,8
37.9,9,2,8
41.9,10,1,12
45.9,11,1,16
49.9,12,1,20
53.9,13,1,16
57.9,14,6,16
61.9,15,1,12
65.9,16,4,12
69.9,17,4,16
73.9,18,4,16
77.9,19,4,16
81.9,20,6,12
85.9,21,6,8
89.9,22,6,12
93.9,23,1,8
97.9,24,0,12
101.9,25,4,12
105.9,26,4,16
109.9,27,0,16
113.9,28,4,12
117.9,29,4,12
121.9,30,4,16
125.9,31,4,12
129.9,32,4,16
133.9,33,4,12
137.9,34,4,16
141.9,35,4,12
145.9,36,4,8
149.9,37,4,8
153.9,38,6,8
157.9,39,0,12
161.9,40,3,12
165.9,41,6,12
169.9,42,3,12
173.9,43,3,8
177.9,44,3,12
181.9,45,3,16
185.9,46,4,12
189.9,47,2,12
193.9,48,4,8
197.9,49,6,12
201.9,50,1,12
205.9,51,4,12
209.9,52,4,8
213.9,53,3,12
217.9,54,4,12
221.9,55,1,8
225.9,56,1,8
229.9,57,1,4
233.9,58,4,4
237.9,59,6,0
