time,playID,playQuality,buffer_size
0.5,0,1,0
4.59,-1.0,-1.0,0
4.64,-1.0,-1.0,0
4.69,-1.0,-1.0,0
4.74,-1.0,-1.0,0
4.79,-1.0,-1.0,0
4.84,-1.0,-1.0,0
4.89,-1.0,-1.0,0
4.94,-1.0,-1.0,0
4.99,-1.0,-1.0,0
5.04,-1.0,-1.0,0
5.09,-1.0,-1.0,0
5.14,-1.0,-1.0,0
5.19,-1.0,-1.0,0
5.24,-1.0,-1.0,0
5.29,-1.0,-1.0,0
5.34,-1.0,-1.0,0
5.39,-1.0,-1.0,0
5.44,-1.0,-1.0,0
5.49,-1.0,-1.0,0
5.54,-1.0,-1.0,0
5.59,-1.0,-1.0,0
5.64,-1.0,-1.0,0
5.69,-1.0,-1.0,0
5.74,-1.0,-1.0,0
5.79,-1.0,-1.0,0
5.84,-1.0,-1.0,0
5.89,-1.0,-1.0,0
5.94,-1.0,-1.0,0
5.99,-1.0,-1.0,0
6.04,-1.0,-1.0,0
6.09,-1.0,-1.0,0
6.14,-1.0,-1.0,0
6.19,-1.0,-1.0,0
6.24,-1.0,-1.0,0
6.29,-1.0,-1.0,0
6.34,-1.0,-1.0,0
6.39,-1.0,-1.0,0
6.44,-1.0,-1.0,0
6.49,-1.0,-1.0,0
6.54,-1.0,-1.0,0
6.59,-1.0,-1.0,0
6.64,-1.0,-1.0,0
6.69,-1.0,-1.0,0
6.74,-1.0,-1.0,0
6.79,-1.0,-1.0,0
6.84,-1.0,-1.0,0
6.89,-1.0,-1.0,0
6.94,-1.0,-1.0,0
6.99,-1.0,-1.0,0
7.04,-1.0,-1.0,0
7.09,-1.0,-1.0,0
7.14,-1.0,-1.0,0
7.19,-1.0,-1.0,0
7.24,-1.0,-1.0,0
7.29,-1.0,-1.0,0
7.34,-1.0,-1.0,0
7.39,-1.0,-1.0,0
7.44,-1.0,-1.0,0
7.49,-1.0,-1.0,0
7.54,-1.0,-1.0,0
7.59,-1.0,-1.0,0
7.64,-1.0,-1.0,0
7.69,-1.0,-1.0,0
7.74,-1.0,-1.0,0
7.79,-1.0,-1.0,0
7.84,-1.0,-1.0,0
7.89,-1.0,-1.0,0
7.94,-1.0,-1.0,0
7.9,1,5,12
11.9,2,0,16
15.9,3,1,16
19.9,4,1,12
23.9,5,2,20
27.9,6,0,20
31.9,7,0,16
35.9,8,2,16
39.9,9,2,12
43.9,10,2,12
47.9,11,2,16
51.9,12,0,12
55.9,13,1,8
59.9,14,2,8
63.9,15,2,12
67.9,16,2,8
71.9,17,1,12
75.9,18,2,16
79.9,19,1,12
83.9,20,1,12
87.9,21,2,12
91.9,22,3,20
95.9,23,3,20
99.9,24,2,16
103.9,25,2,16
107.9,26,2,16
111.9,27,0,20
115.9,28,3,20
119.9,29,2,20
123.9,30,3,16
127.9,31,3,16
131.9,32,3,12
135.9,33,3,8
139.9,34,3,12
143.9,35,0,8
147.9,36,3,12
151.9,37,0,12
155.9,38,2,8
159.9,39,2,12
163.9,40,3,16
167.9,41,0,16
171.9,42,1,16
175.9,43,2,16
179.9,44,2,20
183.9,45,3,20
187.9,46,3,24
191.9,47,3,28
195.9,48,3,28
199.9,49,3,24
203.9,50,4,20
207.9,51,4,16
211.9,52,1,16
216.0,53,2,16
220.0,54,5,12
224.0,55,3,12
228.0,56,3,12
232.0,57,5,8
236.0,58,2,4
240.0,59,4,0
