time,playID,playQuality,buffer_size
0.6,0,1,0
4.6,1,0,4
8.6,2,0,4
12.6,3,0,4
16.6,4,0,12
20.6,5,0,12
24.6,6,0,16
28.6,7,1,12
32.6,8,0,12
36.6,9,2,12
40.6,10,2,20
44.6,11,3,20
48.6,12,3,16
52.6,13,3,20
56.6,14,2,20
60.6,15,3,20
64.6,16,3,20
68.6,17,3,16
72.6,18,2,12
76.6,19,4,16
80.6,20,4,16
84.6,21,4,16
88.6,22,2,20
92.6,23,4,20
96.6,24,5,20
100.6,25,4,20
104.6,26,2,24
108.6,27,4,20
112.6,28,3,16
116.6,29,2,12
120.6,30,4,12
124.6,31,4,16
128.6,32,4,12
132.6,33,2,12
136.6,34,2,12
140.6,35,3,12
144.6,36,4,12
148.6,37,4,8
152.6,38,4,4
156.6,39,5,4
160.6,40,5,8
164.6,41,0,12
168.6,42,1,12
172.6,43,4,12
176.6,44,2,12
180.6,45,3,16
184.6,46,2,12
188.6,47,2,12
192.6,48,3,8
196.6,49,3,12
200.6,50,5,16
204.6,51,0,12
208.6,52,3,8
212.6,53,5,12
216.6,54,1,12
220.6,55,0,12
224.6,56,0,8
228.6,57,0,4
232.6,58,1,4
236.6,59,1,0
