time,playID,playQuality,buffer_size
0.8,0,1,0
4.8,1,1,8
8.8,2,0,8
12.8,3,0,12
16.8,4,3,8
20.8,5,6,4
24.8,6,2,12
28.8,7,4,12
32.8,8,4,8
36.8,9,3,12
40.8,10,0,12
44.8,11,1,12
48.8,12,4,12
52.8,13,3,8
56.8,14,6,12
60.8,15,0,8
64.8,16,3,8
68.8,17,5,12
72.8,18,3,16
76.8,19,0,16
80.8,20,6,16
84.8,21,6,20
88.8,22,0,20
92.8,23,0,16
96.8,24,6,12
100.8,25,6,12
104.8,26,6,16
108.8,27,6,16
112.8,28,6,12
116.8,29,3,12
120.8,30,3,12
124.8,31,6,12
128.8,32,2,8
132.8,33,5,12
136.8,34,4,8
140.8,35,4,8
144.8,36,4,12
148.8,37,0,12
152.8,38,6,8
156.8,39,5,12
160.8,40,0,12
164.8,41,3,8
168.8,42,6,12
172.8,43,0,12
176.8,44,3,12
180.8,45,5,20
184.8,46,3,20
188.8,47,3,16
192.8,48,3,16
196.8,49,3,16
200.8,50,3,16
204.8,51,5,16
208.8,52,5,16
212.8,53,3,12
216.8,54,3,12
220.8,55,3,12
224.8,56,1,8
228.8,57,1,4
232.8,58,3,0
236.8,59,0,0
