time,playID,playQuality,buffer_size
0.5,0,1,0
4.5,1,0,4
8.5,2,0,8
12.5,3,0,12
16.5,4,0,12
20.5,5,0,16
24.5,6,0,20
28.5,7,0,16
32.5,8,1,20
36.5,9,1,20
40.5,10,1,16
44.5,11,3,16
48.5,12,2,20
52.5,13,2,16
56.5,14,5,12
60.5,15,1,12
64.5,16,2,12
68.5,17,2,12
72.5,18,1,12
76.5,19,2,12
80.5,20,2,12
84.5,21,2,16
88.5,22,2,16
92.5,23,0,12
96.5,24,0,12
100.5,25,0,12
104.5,26,4,12
108.5,27,6,16
112.5,28,2,12
116.5,29,1,12
120.5,30,1,16
124.5,31,1,16
128.5,32,3,12
132.5,33,3,16
136.5,34,3,12
140.5,35,3,12
144.5,36,4,16
148.5,37,3,16
152.5,38,4,12
156.5,39,4,12
160.5,40,1,12
164.5,41,4,8
168.5,42,2,8
172.5,43,2,12
176.5,44,0,16
180.5,45,4,16
184.5,46,1,16
188.5,47,2,12
192.5,48,4,12
196.5,49,4,12
200.5,50,0,8
204.5,51,1,16
208.5,52,3,12
212.5,53,0,16
216.5,54,4,16
220.5,55,5,12
224.5,56,1,8
228.5,57,4,8
232.5,58,2,4
236.5,59,5,0
