time,playID,playQuality,buffer_size
0.7,0,1,0
4.7,1,0,12
8.7,2,0,12
12.7,3,1,16
16.7,4,1,12
20.7,5,1,12
24.7,6,4,12
28.7,7,4,12
32.7,8,4,8
36.7,9,3,8
40.7,10,4,12
44.7,11,6,12
48.7,12,2,12
52.7,13,4,16
56.7,14,6,16
60.7,15,3,12
64.7,16,4,12
68.7,17,4,8
72.7,18,4,12
76.7,19,4,12
80.7,20,6,12
84.7,21,6,12
88.7,22,6,12
92.7,23,6,12
96.7,24,1,12
100.7,25,4,8
104.7,26,4,12
108.7,27,3,12
112.7,28,4,12
116.7,29,4,12
120.7,30,3,12
124.7,31,4,16
128.7,32,4,16
132.7,33,4,16
136.7,34,4,12
140.7,35,4,16
144.7,36,4,16
148.7,37,4,12
152.7,38,4,16
156.7,39,6,16
160.7,40,4,12
164.7,41,4,12
168.7,42,4,8
172.7,43,4,8
176.7,44,4,4
180.7,45,0,8
184.7,46,4,4
188.7,47,6,4
192.7,48,1,8
196.7,49,6,8
200.7,50,3,8
204.7,51,3,4
208.7,52,0,8
212.7,53,6,16
216.7,54,0,12
220.7,55,5,8
224.7,56,1,8
228.7,57,4,4
232.7,58,4,0
236.7,59,1,0
