time,playID,playQuality,buffer_size
0.4,0,1,0
4.4,1,0,8
8.4,2,3,8
12.4,3,3,8
16.4,4,4,8
20.4,5,6,12
24.4,6,4,12
28.4,7,4,12
32.4,8,4,8
36.4,9,4,8
40.4,10,4,8
44.4,11,4,8
48.4,12,0,12
52.4,13,3,8
56.4,14,4,4
60.4,15,4,4
64.4,16,4,0
68.4,17,4,8
72.4,18,0,8
76.4,19,3,4
80.42,-1.0,-1.0,0
80.47,-1.0,-1.0,0
80.52,-1.0,-1.0,0
80.57,-1.0,-1.0,0
80.62,-1.0,-1.0,0
80.67,-1.0,-1.0,0
80.72,-1.0,-1.0,0
80.77,-1.0,-1.0,0
80.82,-1.0,-1.0,0
80.87,-1.0,-1.0,0
80.92,-1.0,-1.0,0
80.97,-1.0,-1.0,0
81.02,-1.0,-1.0,0
81.07,-1.0,-1.0,0
81.12,-1.0,-1.0,0
81.17,-1.0,-1.0,0
81.22,-1.0,-1.0,0
81.27,-1.0,-1.0,0
81.32,-1.0,-1.0,0
81.37,-1.0,-1.0,0
81.42,-1.0,-1.0,0
81.47,-1.0,-1.0,0
81.52,-1.0,-1.0,0
81.57,-1.0,-1.0,0
81.62,-1.0,-1.0,0
81.67,-1.0,-1.0,0
81.72,-1.0,-1.0,0
81.77,-1.0,-1.0,0
81.82,-1.0,-1.0,0
81.87,-1.0,-1.0,0
81.92,-1.0,-1.0,0
81.97,-1.0,-1.0,0
82.02,-1.0,-1.0,0
82.07,-1.0,-1.0,0
82.12,-1.0,-1.0,0
82.17,-1.0,-1.0,0
82.22,-1.0,-1.0,0
82.27,-1.0,-1.0,0
82.32,-1.0,-1.0,0
82.37,-1.0,-1.0,0
82.42,-1.0,-1.0,0
82.47,-1.0,-1.0,0
82.52,-1.0,-1.0,0
82.57,-1.0,-1.0,0
82.62,-1.0,-1.0,0
82.67,-1.0,-1.0,0
82.72,-1.0,-1.0,0
82.77,-1.0,-1.0,0
82.82,-1.0,-1.0,0
82.87,-1.0,-1.0,0
82.92,-1.0,-1.0,0
82.97,-1.0,-1.0,0
83.02,-1.0,-1.0,0
83.07,-1.0,-1.0,0
83.12,-1.0,-1.0,0
83.17,-1.0,-1.0,0
83.22,-1.0,-1.0,0
83.27,-1.0,-1.0,0
83.32,-1.0,-1.0,0
83.37,-1.0,-1.0,0
83.42,-1.0,-1.0,0
83.47,-1.0,-1.0,0
83.52,-1.0,-1.0,0
83.57,-1.0,-1.0,0
83.62,-1.0,-1.0,0
83.67,-1.0,-1.0,0
83.72,-1.0,-1.0,0
83.77,-1.0,-1.0,0
83.82,-1.0,-1.0,0
83.87,-1.0,-1.0,0
83.92,-1.0,-1.0,0
83.97,-1.0,-1.0,0
84.02,-1.0,-1.0,0
84.07,-1.0,-1.0,0
84.12,-1.0,-1.0,0
84.17,-1.0,-1.0,0
84.22,-1.0,-1.0,0
84.27,-1.0,-1.0,0
84.32,-1.0,-1.0,0
84.37,-1.0,-1.0,0
84.42,-1.0,-1.0,0
84.47,-1.0,-1.0,0
84.52,-1.0,-1.0,0
84.57,-1.0,-1.0,0
84.62,-1.0,-1.0,0
84.67,-1.0,-1.0,0
84.7,20,0,8
88.7,21,4,8
92.7,22,6,8
96.7,23,3,8
100.7,24,4,12
104.7,25,4,12
108.7,26,4,8
112.7,27,4,8
116.7,28,4,8
120.7,29,4,4
124.7,30,0,8
128.7,31,4,4
132.7,32,4,8
136.7,33,1,8
140.7,34,4,8
144.7,35,3,8
148.7,36,4,8
152.7,37,4,8
156.7,38,3,8
160.7,39,4,12
164.7,40,4,8
168.7,41,4,8
172.7,42,3,12
176.7,43,3,8
180.7,44,5,8
184.7,45,4,16
188.7,46,4,12
192.7,47,4,12
196.7,48,4,12
200.7,49,4,8
204.7,50,4,12
208.7,51,4,12
212.7,52,4,12
216.7,53,5,16
220.7,54,4,12
224.7,55,3,12
228.7,56,0,8
232.7,57,1,4
236.7,58,1,4
240.7,59,3,0
