,reward_quality,smooth_penalty,rebuf_penalty,sum_reward,,,,,,,
,238,28.6,82,127.4,,,,,,,
,220.5,40.2,61.25,119.05,,,,,,,
,255.9,18.4,35,202.5,,,,,,,
,243.8,12.7,3.5,227.6,,,,,,,
,247.1,19.4,3.25,224.45,,,,,,,
,198.6,47.7,24.25,126.65,,,,,,,
,213.5,45.9,68,99.6,,,,,,,
,244.1,22.1,30.5,191.5,,,,,,,
,225,28.8,3.5,192.7,,,,,,,
,207.7,52.3,32.75,122.65,,,,,,,
,225.1,50.5,16.75,157.85,,,,,,,
,,,,,,,,,,,
,reward_quality,smooth_penalty,rebuf_penalty,sum_reward,,,,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
average,228.3026667,34.20266667,30.53666667,163.5633333,,,RL,228.30,34.20,30.54,163.56
,,,,,,,Smooth,87.84,48.81,0.68,38.35
,,,,,,,,,,,
std,21.64793013,13.36682233,36.54706888,53.19290324,,,std RL,21.64793013,13.36682233,36.54706888,53.19290324
,,,,,,,std Smooth,11.40602182,12.11490034,3.830461915,9.688864061
,,,,,,,,,,,
average,87.83533333,48.81133333,0.676666667,38.34733333,,,,,,,
std,11.40602182,12.11490034,3.830461915,9.688864061,,,,,,,
