,time,down_id,quality,buffer,path:
0,0.0,2,0,0,2.0
1,1.5,4,2,4,2.0
2,4.4,1,2,8,2.0
3,5.2,7,4,8,1.0
4,14.0,5,0,16,2.0
5,15.3,8,3,16,2.0
6,24.1,6,0,16,2.0
7,25.7,10,1,20,2.0
8,30.3,3,2,24,2.0
9,35.8,8,5,28,2.0
10,41.7,11,4,24,1.0
11,50.7,7,5,20,1.0
12,61.5,11,2,12,2.0
13,70.1,14,0,12,2.0
14,70.3,11,4,12,1.0
15,70.8,16,1,16,2.0
16,75.7,14,6,20,2.0
17,84.1,11,3,20,1.0
18,89.6,12,4,20,1.0
19,97.2,9,3,20,2.0
20,104.6,14,3,24,2.0
21,105.3,15,1,24,1.0
22,105.9,10,0,24,2.0
23,106.6,10,2,24,2.0
24,108.5,15,2,24,2.0
25,108.6,13,6,28,1.0
26,109.7,14,4,24,2.0
27,111.2,11,4,24,2.0
28,114.0,15,0,20,2.0
29,114.6,13,3,20,2.0
30,117.3,18,4,20,2.0
31,129.5,22,5,12,2.0
32,139.9,22,6,12,2.0
33,142.6,18,6,12,2.0
34,146.6,24,4,12,2.0
35,148.1,19,3,16,2.0
36,149.6,20,3,20,2.0
37,151.2,20,6,20,1.0
38,151.3,23,2,24,2.0
39,152.0,22,2,28,2.0
40,152.9,20,3,28,2.0
41,154.4,19,4,28,2.0
42,157.2,21,6,28,1.0
43,158.4,17,5,28,2.0
44,158.7,19,5,32,1.0
45,161.6,19,4,28,2.0
46,162.2,21,1,32,1.0
47,162.5,18,1,32,1.0
48,162.9,18,5,32,1.0
49,165.2,18,1,32,2.0
50,166.2,21,5,28,2.0
51,166.2,24,1,28,1.0
52,167.2,25,2,28,1.0
53,168.4,25,6,28,2.0
54,168.7,25,4,32,1.0
55,172.0,20,0,28,2.0
56,172.5,26,5,28,2.0
57,174.8,21,5,28,2.0
58,176.3,21,0,28,2.0
59,176.7,28,4,28,2.0
60,179.2,28,1,24,1.0
61,179.8,28,0,28,2.0
62,180.3,26,5,28,2.0
63,182.9,29,2,24,2.0
64,184.3,26,3,28,2.0
65,185.6,25,3,24,2.0
66,186.8,28,1,24,2.0
67,187.4,30,4,24,1.0
68,187.6,30,6,24,2.0
69,190.8,27,1,24,1.0
70,191.3,25,3,28,1.0
71,192.4,32,5,28,1.0
72,192.9,32,0,28,2.0
73,193.5,29,0,32,2.0
74,194.2,28,0,28,2.0
75,194.7,30,0,28,2.0
76,195.1,33,5,28,1.0
77,195.3,27,6,28,2.0
78,197.9,30,6,28,1.0
79,198.0,34,3,28,2.0
80,199.8,29,3,32,2.0
81,200.8,31,4,32,1.0
