,time,down_id,quality,buffer,path:
0,0.0,1,5,0,2.0
1,5.2,8,1,0,1.0
2,17.1,6,1,8,1.0
3,23.8,8,1,12,2.0
4,27.1,7,5,12,1.0
5,27.5,8,4,12,2.0
6,43.6,2,0,12,2.0
7,45.2,8,0,16,2.0
8,46.9,5,3,12,2.0
9,49.2,10,2,16,1.0
10,51.5,7,5,20,2.0
11,52.7,8,1,24,1.0
12,54.4,8,4,24,1.0
13,70.2,7,2,24,1.0
14,76.0,7,3,24,1.0
15,83.1,7,3,24,1.0
16,87.6,4,2,24,1.0
17,91.9,4,0,24,2.0
18,94.4,10,6,28,1.0
19,94.6,4,2,28,2.0
20,102.1,3,1,28,2.0
21,104.4,9,4,32,2.0
22,109.1,5,1,28,2.0
23,109.7,10,1,28,2.0
24,110.6,5,4,28,2.0
25,112.1,6,4,28,2.0
26,114.7,7,2,24,1.0
27,115.6,11,4,24,2.0
28,120.8,9,4,16,1.0
29,125.4,13,5,16,2.0
30,142.1,12,4,8,2.0
31,145.7,14,6,12,2.0
32,147.1,17,1,12,2.0
33,147.8,14,6,16,2.0
34,149.2,20,4,16,2.0
35,150.5,17,2,12,1.0
36,152.1,14,5,16,2.0
37,153.5,16,6,16,2.0
38,153.9,22,6,12,1.0
39,156.9,21,5,16,1.0
40,157.2,18,0,20,2.0
41,157.8,21,1,24,2.0
42,158.5,15,4,28,1.0
43,158.6,15,3,28,2.0
44,160.0,19,4,32,2.0
45,160.6,18,6,28,1.0
46,162.9,18,4,28,1.0
47,163.4,23,3,32,2.0
48,164.3,22,5,32,2.0
49,165.5,17,6,32,1.0
50,167.4,17,1,32,2.0
51,168.3,24,5,28,2.0
52,170.5,22,0,32,2.0
53,170.9,21,5,32,2.0
54,171.3,19,3,32,1.0
55,172.9,24,3,28,2.0
56,173.9,21,0,28,2.0
57,174.3,26,0,28,2.0
58,174.7,22,5,32,2.0
59,176.9,27,3,28,2.0
60,178.0,26,6,32,2.0
61,180.2,23,3,28,2.0
62,181.3,26,5,28,2.0
63,181.6,27,3,28,1.0
64,183.6,23,6,28,2.0
65,185.2,26,2,24,2.0
66,186.3,22,4,24,2.0
67,188.2,26,3,20,1.0
68,188.2,25,0,20,2.0
69,188.8,27,1,24,2.0
70,189.4,29,0,24,1.0
71,189.6,30,6,24,2.0
72,189.7,24,1,28,1.0
73,190.2,30,5,28,1.0
74,193.6,28,3,28,1.0
75,195.0,28,3,32,1.0
76,195.1,31,1,32,2.0
77,196.2,28,0,32,2.0
78,196.3,32,5,32,1.0
79,196.8,30,0,32,2.0
80,197.4,27,2,32,2.0
81,200.0,30,2,28,1.0
82,200.0,28,4,28,2.0
83,201.2,28,6,32,1.0
84,203.7,26,0,32,1.0
85,203.9,33,1,32,2.0
86,204.0,32,2,32,1.0
87,204.9,34,3,28,1.0
88,205.6,34,5,32,2.0
89,208.0,35,3,28,1.0
90,212.0,36,0,28,1.0
91,212.0,33,6,28,2.0
92,216.0,31,2,28,1.0
93,216.6,33,3,32,2.0
94,217.4,31,1,32,1.0
95,218.2,33,3,32,1.0
96,218.8,36,4,32,2.0
97,219.9,33,2,32,1.0
98,221.3,36,0,28,1.0
99,221.6,31,6,28,2.0
100,221.6,36,4,28,1.0
101,224.0,39,0,24,1.0
102,224.2,33,4,28,1.0
103,225.4,34,2,28,2.0
104,226.7,35,1,28,1.0
105,226.9,33,6,28,2.0
106,227.4,39,3,28,1.0
107,228.2,36,6,24,1.0
108,229.7,38,2,24,2.0
109,230.4,37,4,28,2.0
110,231.0,35,0,28,1.0
111,231.3,37,1,32,2.0
112,231.4,38,0,32,1.0
113,231.6,35,3,32,2.0
114,231.8,36,0,32,1.0
115,232.0,39,5,32,2.0
116,232.1,35,5,28,1.0
117,232.6,37,2,28,2.0
118,233.1,41,1,28,2.0
119,233.3,35,4,32,2.0
120,234.0,39,5,32,2.0
121,234.5,35,4,32,2.0
122,235.4,35,4,32,2.0
123,235.5,37,5,32,1.0
124,236.3,38,4,28,2.0
125,237.5,36,5,28,2.0
126,237.7,36,4,28,1.0
127,238.7,36,3,28,2.0
128,239.2,36,3,28,2.0
129,239.7,36,5,28,2.0
130,240.4,38,6,24,1.0
131,240.7,39,5,24,2.0
132,241.3,37,5,24,2.0
133,242.0,43,1,24,2.0
134,242.3,40,2,28,2.0
135,242.7,43,5,32,2.0
136,243.2,41,4,32,2.0
137,243.9,40,2,32,2.0
138,244.3,41,0,28,1.0
139,244.4,42,0,28,2.0
140,244.6,43,5,32,2.0
141,244.6,41,4,32,1.0
142,245.3,43,5,32,2.0
143,245.8,42,6,32,2.0
144,246.5,43,2,32,2.0
145,246.8,44,2,32,2.0
146,248.0,42,0,28,1.0
147,248.0,39,3,28,2.0
148,248.3,40,0,32,1.0
149,248.4,41,4,32,2.0
150,248.6,44,1,32,1.0
151,249.0,43,3,32,2.0
152,249.3,38,5,32,1.0
153,249.4,45,2,32,2.0
154,252.0,43,3,28,2.0
155,252.2,46,4,32,1.0
156,252.4,45,5,32,2.0
157,253.4,42,6,32,2.0
158,254.0,43,4,32,2.0
159,254.6,45,2,32,2.0
160,255.0,44,3,32,2.0
161,255.5,44,4,32,2.0
162,256.3,43,2,28,2.0
163,256.6,40,1,28,2.0
164,256.7,42,0,32,1.0
165,256.9,43,0,32,2.0
166,257.1,45,2,32,1.0
167,257.1,47,0,32,2.0
168,260.0,44,3,28,2.0
169,260.0,42,4,28,1.0
170,260.7,46,5,32,2.0
171,261.0,48,4,32,1.0
172,262.1,43,1,32,2.0
173,262.4,45,6,32,2.0
174,264.0,46,5,28,1.0
175,264.2,45,3,32,2.0
176,264.9,44,4,32,2.0
177,266.4,44,4,32,2.0
178,267.6,46,5,32,2.0
179,268.2,44,3,28,1.0
180,269.3,48,3,28,2.0
181,269.6,43,1,28,1.0
182,270.0,48,5,28,2.0
183,270.0,49,2,28,1.0
184,270.8,44,5,32,1.0
185,271.5,43,5,32,2.0
186,272.4,51,2,28,2.0
187,273.0,44,5,32,2.0
188,274.2,45,0,32,1.0
189,274.6,51,0,32,1.0
190,274.9,47,1,32,1.0
191,275.2,50,3,32,2.0
192,275.4,48,5,32,1.0
193,276.0,50,4,28,2.0
194,276.7,50,2,32,2.0
195,277.0,48,3,32,2.0
196,277.5,49,2,32,2.0
197,277.9,52,5,32,2.0
198,278.3,52,5,32,1.0
199,280.0,50,6,28,2.0
200,280.2,50,0,32,1.0
201,280.3,50,2,32,1.0
202,280.7,48,3,32,2.0
203,280.7,50,0,32,1.0
204,280.9,52,1,32,1.0
205,281.1,48,3,32,1.0
206,281.2,49,6,32,2.0
207,281.4,49,4,32,1.0
208,281.8,48,3,32,1.0
