reward_quality,smooth_penalty,rebuf_penalty,sum_reward
257.1,28.6,77.75000000000044,150.7499999999996,150.7499999999996
231.6,40.5,54.5000000000001,136.5999999999999,143.67499999999976
171.6,72.7,87.50000000000057,11.399999999999423,99.58333333333297
195.1,37.6,12.499999999999996,145.0,110.93749999999973
206.4,41.8,159.00000000000156,5.5999999999984595,89.86999999999948
217.2,42.0,70.25000000000033,104.94999999999966,92.38333333333286
231.2,33.3,51.25000000000005,146.64999999999992,100.13571428571387
181.4,55.7,60.500000000000185,65.19999999999982,95.7687499999996
197.6,70.7,31.24999999999993,95.65000000000006,95.7555555555552
206.4,26.7,62.75000000000022,116.94999999999979,97.87499999999967
147.1,54.1,59.00000000000016,33.99999999999984,92.06818181818151
198.7,39.3,13.249999999999993,146.14999999999998,96.5749999999997
149.6,38.6,32.24999999999992,78.75000000000009,95.20384615384589
195.3,49.4,67.50000000000028,78.39999999999972,94.00357142857115
162.1,46.4,105.75000000000082,9.949999999999164,88.39999999999968
213.7,45.2,15.749999999999984,152.75000000000003,92.42187499999972
170.9,37.0,22.99999999999996,110.90000000000005,93.5088235294115
229.8,43.8,153.0000000000015,32.999999999998494,90.14722222222188
178.4,40.8,24.249999999999954,113.35000000000007,91.36842105263126
209.9,37.8,150.50000000000145,21.599999999998573,87.87999999999963
237.0,37.6,24.999999999999954,174.40000000000006,91.99999999999966
235.3,21.3,25.99999999999995,188.00000000000006,96.36363636363603
224.8,15.2,0.0,209.60000000000002,101.28695652173882
207.8,39.4,6.500000000000003,161.9,103.8124999999997
236.2,22.6,79.25000000000045,134.34999999999954,105.0339999999997
200.6,52.5,63.00000000000022,85.09999999999977,104.26730769230738
195.2,35.4,64.50000000000024,95.29999999999974,103.93518518518488
231.5,28.2,34.999999999999915,168.3000000000001,106.23392857142828
225.0,42.3,14.749999999999988,167.95,108.36206896551695
200.8,58.4,77.00000000000043,65.39999999999958,106.92999999999971
232.2,27.8,0.5,203.89999999999998,110.05806451612877
254.5,18.1,133.00000000000122,103.39999999999878,109.84999999999968
227.1,29.3,11.749999999999998,186.04999999999998,112.15909090909061
202.9,41.1,62.000000000000206,99.79999999999981,111.79558823529382
257.4,33.1,51.50000000000006,172.79999999999993,113.53857142857113
191.4,42.6,33.74999999999992,115.0500000000001,113.58055555555526
201.7,36.1,131.7500000000012,33.8499999999988,111.42567567567535
230.7,39.2,20.749999999999968,170.75000000000003,112.98684210526285
169.2,55.6,108.50000000000087,5.0999999999991275,110.2205128205125
241.8,30.7,49.50000000000003,161.6,111.5049999999997
236.1,28.5,100.50000000000075,107.09999999999924,111.39756097560945
230.2,28.9,105.75000000000082,95.54999999999916,111.02023809523777
247.6,26.0,149.00000000000145,72.59999999999854,110.12674418604617
273.7,22.9,67.00000000000027,183.79999999999973,111.80113636363603
203.9,44.3,26.249999999999947,133.35000000000008,112.27999999999969
253.9,44.0,94.00000000000065,115.89999999999935,112.3586956521736
228.8,40.0,37.24999999999991,151.5500000000001,113.19255319148905
223.0,43.7,75.5000000000004,103.79999999999961,112.99687499999966
207.1,37.5,19.49999999999997,150.10000000000002,113.75408163265274
203.2,31.8,179.75000000000045,-8.350000000000477,111.31199999999968
237.6,24.8,166.50000000000122,46.29999999999876,110.03725490196044
226.8,24.1,16.249999999999982,186.45000000000005,111.50673076923043
