epoch:0 reward:138.8
epoch:1 reward:153.25
epoch:2 reward:8.64999999999894
epoch:3 reward:89.14999999999995
epoch:4 reward:94.45000000000005
epoch:5 reward:147.45000000000002
epoch:6 reward:43.39999999999971
epoch:7 reward:55.40000000000001
epoch:8 reward:90.00000000000003
epoch:9 reward:69.60000000000004
epoch:10 reward:103.40000000000006
epoch:11 reward:82.60000000000011
epoch:12 reward:129.40000000000003
epoch:13 reward:46.94999999999982
epoch:14 reward:99.10000000000011
epoch:15 reward:93.25000000000009
epoch:16 reward:153.3
epoch:17 reward:108.25
epoch:18 reward:148.29999999999998
epoch:19 reward:50.34999999999977
epoch:20 reward:130.75
epoch:21 reward:139.0
epoch:22 reward:113.35000000000007
epoch:23 reward:128.5
epoch:24 reward:142.9
epoch:25 reward:118.64999999999999
epoch:26 reward:119.50000000000009
epoch:27 reward:62.84999999999984
epoch:28 reward:116.39999999999999
epoch:29 reward:132.0
epoch:30 reward:112.70000000000006
epoch:31 reward:140.5
epoch:32 reward:149.8
epoch:33 reward:124.25
epoch:34 reward:77.70000000000005
epoch:35 reward:135.7
epoch:36 reward:164.9
epoch:37 reward:37.04999999999982
epoch:38 reward:116.85
epoch:39 reward:130.8
epoch:40 reward:74.24999999999989
epoch:41 reward:125.75000000000006
epoch:42 reward:121.75000000000009
epoch:43 reward:112.70000000000002
epoch:44 reward:127.4
epoch:45 reward:158.6
epoch:46 reward:139.8
epoch:47 reward:105.15000000000009
epoch:48 reward:107.80000000000003
epoch:49 reward:121.10000000000001
epoch:50 reward:121.2
epoch:51 reward:115.00000000000003
epoch:52 reward:106.55000000000004
epoch:53 reward:131.00000000000003
epoch:54 reward:122.1
epoch:55 reward:90.05000000000004
epoch:56 reward:107.9
epoch:57 reward:129.8
epoch:58 reward:114.75000000000006
epoch:59 reward:136.90000000000003
epoch:60 reward:145.3
epoch:61 reward:118.30000000000001
epoch:62 reward:112.90000000000009
epoch:63 reward:73.39999999999972
epoch:64 reward:105.45000000000005
epoch:65 reward:140.7
epoch:66 reward:115.50000000000001
epoch:67 reward:125.8
epoch:68 reward:107.30000000000007
epoch:69 reward:130.7
epoch:70 reward:144.8
epoch:71 reward:166.2
epoch:72 reward:164.25
epoch:73 reward:113.55000000000007
epoch:74 reward:127.30000000000001
epoch:75 reward:75.65000000000009
epoch:76 reward:126.5
epoch:77 reward:113.15000000000002
epoch:78 reward:121.85000000000002
epoch:79 reward:142.60000000000002
epoch:80 reward:139.5
epoch:81 reward:112.95000000000005
epoch:82 reward:134.3
epoch:83 reward:145.85000000000002
epoch:84 reward:133.50000000000003
epoch:85 reward:73.0999999999999
epoch:86 reward:162.0
epoch:87 reward:158.1
epoch:88 reward:100.6
epoch:89 reward:115.90000000000006
epoch:90 reward:125.85000000000007
epoch:91 reward:120.25000000000004
epoch:92 reward:114.54999999999997
epoch:93 reward:128.8
epoch:94 reward:143.90000000000003
epoch:95 reward:136.00000000000003
epoch:96 reward:102.24999999999982
epoch:97 reward:129.5
epoch:98 reward:154.0
epoch:99 reward:141.9

Process finished with exit code 0
