reward_quality,smooth_penalty,rebuf_penalty,sum_reward
107.6,95.0,26,-14.0
119.9,91.9,32,-4.0
99.0,79.8,25,-6.0
106.4,95.3,12,-1.0
122.6,91.4,42,-11.0
121.6,106.2,42,-27.0
111.8,96.3,13,3.0
98.3,96.3,30,-28.0
88.7,76.3,3,10.0
101.6,101.6,18,-18.0
151.9,134.1,30,-12.0
142.1,112.1,68,-38.0
116.1,95.5,12,9.0
113.6,107.3,0,6.0
120.9,115.1,0,6.0
115.0,111.2,31,-27.0
95.3,105.6,9,-19.0
110.9,134.0,13,-36.0
138.6,105.2,19,14.0
140.1,106.6,6,28.0
143.2,105.4,0,38.0
128.0,81.1,5,42.0
156.9,96.4,13,48.0
110.8,118.9,0,-8.0
118.6,103.7,14,1.0
135.8,99.6,26,10.0
128.1,102.0,0,26.0
132.4,100.5,0,32.0
126.7,121.5,53,-48.0
138.3,126.7,63,-51.0
100.5,104.5,0,-4.0
120.9,104.4,0,16.0
120.9,109.3,11,1.0
103.7,111.1,5,-12.0
107.0,89.6,1,16.0
112.5,90.2,1,22.0
131.5,112.2,23,-4.0
122.1,110.1,2,10.0
123.9,85.1,11,28.0
114.8,106.8,21,-13.0
99.6,97.9,4,-3.0
114.5,79.4,34,1.0
141.9,93.9,27,21.0
124.0,107.4,0,17.0
135.3,117.2,0,18.0
125.6,88.1,10,28.0
102.5,88.8,13,0.0
123.9,88.6,13,22.0
106.8,92.3,50,-35.0
110.5,105.6,17,-12.0
111.8,96.1,0,16.0
118.5,112.4,10,-4.0
142.4,100.5,0,42.0
137.3,103.2,9,25.0
127.1,107.4,25,-5.0
