,time,down_id,quality,buffer,path:
198,278.5,45,1,32,2.0
199,278.8,43,0,32,2.0
200,279.0,44,5,28,2.0
201,279.3,46,1,28,1.0
202,279.7,45,4,28,1.0
203,279.9,49,6,28,2.0
204,280.7,44,3,28,2.0
205,280.7,50,6,28,1.0
206,281.1,47,1,28,2.0
207,281.3,45,2,32,1.0
208,281.4,49,3,32,2.0
209,281.5,49,2,32,1.0
210,281.7,49,2,32,1.0
211,281.8,51,5,32,2.0
212,281.9,50,0,32,1.0
213,282.0,51,4,32,1.0
214,282.9,46,5,28,2.0
215,282.9,52,1,28,1.0
216,286.9,50,2,28,1.0
217,286.9,46,2,28,2.0
218,287.3,53,1,32,1.0
219,287.4,46,5,32,2.0
220,290.9,50,5,28,2.0
221,290.9,51,6,28,1.0
222,291.4,52,5,32,1.0
223,291.8,53,3,32,2.0
224,292.0,49,4,32,1.0
225,292.5,52,5,32,1.0
226,292.5,48,6,32,2.0
227,293.2,49,6,32,1.0
228,293.8,53,6,32,1.0
229,294.7,52,0,32,2.0
230,294.8,52,3,32,1.0
231,295.0,53,0,28,2.0
232,295.2,55,6,28,1.0
233,295.3,55,2,28,2.0
234,295.6,49,2,32,1.0
235,295.8,52,6,32,2.0
236,295.8,54,4,32,1.0
237,298.9,53,5,28,2.0
238,298.9,55,6,28,1.0
239,299.3,53,3,32,1.0
240,299.6,55,6,32,1.0
241,300.0,53,6,32,1.0
242,300.3,56,6,32,2.0
243,300.8,56,4,32,1.0
244,302.9,57,1,28,2.0
245,302.9,55,2,28,1.0
246,303.1,51,3,32,1.0
247,306.9,56,0,28,1.0
248,306.9,56,4,28,2.0
249,307.0,53,0,32,1.0
250,307.1,55,4,32,1.0
251,307.5,52,3,32,1.0
252,307.6,55,5,32,2.0
253,307.8,57,4,32,1.0
254,308.2,57,0,32,2.0
255,308.4,54,3,32,1.0
256,308.4,57,4,32,2.0
257,308.7,51,6,32,1.0
258,309.1,53,1,32,2.0
259,309.3,57,2,32,1.0
260,309.4,54,0,32,2.0
261,309.6,57,3,32,1.0
262,309.7,54,4,32,2.0
263,310.0,54,0,32,1.0
264,310.1,53,0,32,1.0
265,310.3,55,0,32,1.0
266,310.4,53,5,32,1.0
267,310.4,51,2,32,2.0
268,310.8,58,3,32,2.0
269,311.2,59,0,32,2.0
