,time,down_id,quality,buffer,path:
0,0.0,1,0,0,2.0
1,1.4,1,0,4,2.0
2,2.6,4,2,4,2.0
3,5.2,1,0,4,1.0
4,7.2,1,0,12,2.0
5,8.8,1,0,12,2.0
6,10.3,5,3,8,1.0
7,12.5,2,0,8,2.0
8,14.7,6,1,12,2.0
9,18.9,3,0,12,2.0
10,21.1,3,4,16,2.0
11,24.6,4,0,16,1.0
12,27.1,5,0,12,1.0
13,27.8,5,0,12,1.0
14,32.0,6,0,8,1.0
15,35.8,7,0,4,1.0
16,36.7,13,3,4,2.0
17,37.6,7,0,8,1.0
18,40.0,8,0,4,1.0
19,41.2,8,0,8,1.0
20,42.5,9,0,4,1.0
21,43.4,9,0,8,1.0
22,44.6,9,0,8,1.0
23,45.6,9,0,8,1.0
24,46.6,10,0,4,1.0
25,47.6,10,0,8,1.0
26,48.0,10,0,12,2.0
27,48.6,10,0,12,1.0
28,49.5,10,0,12,1.0
29,49.8,11,0,8,2.0
30,50.4,18,5,8,1.0
31,52.0,15,4,12,2.0
32,64.8,12,0,12,1.0
33,66.1,12,0,16,1.0
34,67.8,13,0,12,1.0
35,69.2,13,0,12,1.0
36,69.5,13,0,16,2.0
37,70.8,14,0,12,2.0
38,71.0,14,0,12,1.0
39,71.9,14,0,16,1.0
40,72.4,14,0,16,2.0
41,73.2,14,0,16,1.0
42,73.9,14,0,16,2.0
43,74.1,14,0,16,1.0
44,74.9,15,0,12,1.0
45,75.5,15,0,12,2.0
46,75.9,15,0,12,1.0
47,77.2,15,0,12,1.0
48,78.0,15,0,12,1.0
49,79.0,16,0,8,2.0
50,79.4,16,0,8,1.0
51,80.9,16,0,12,1.0
52,81.9,16,0,12,1.0
53,83.1,17,0,8,1.0
54,83.6,17,0,8,2.0
55,84.1,21,4,12,1.0
56,88.1,25,1,12,1.0
57,89.8,18,0,12,2.0
58,92.0,19,0,12,1.0
59,92.6,19,0,12,2.0
60,94.4,19,0,16,1.0
61,95.4,20,0,12,1.0
62,96.1,20,0,12,2.0
63,97.1,20,0,16,1.0
64,98.1,20,0,16,1.0
65,99.3,21,0,12,2.0
66,99.5,21,0,12,1.0
67,100.8,21,0,12,1.0
68,101.1,21,0,12,2.0
69,101.9,21,0,12,1.0
70,102.5,22,0,8,2.0
71,103.4,22,0,8,1.0
72,103.5,22,0,12,2.0
73,104.2,22,0,12,2.0
74,104.4,22,0,12,1.0
75,104.7,22,0,12,2.0
76,105.1,22,0,12,2.0
77,105.7,22,0,12,2.0
78,105.8,22,0,12,1.0
79,106.2,22,0,12,2.0
80,106.8,23,0,8,2.0
81,107.1,23,0,8,1.0
82,107.3,23,2,12,2.0
83,108.3,23,0,12,2.0
84,108.7,23,0,12,2.0
85,109.1,23,0,12,1.0
86,109.1,23,0,12,2.0
87,109.5,23,0,12,2.0
88,109.9,23,0,12,2.0
89,110.3,23,0,12,2.0
90,110.6,24,0,8,2.0
91,111.0,24,0,12,2.0
92,111.3,24,0,12,1.0
93,111.3,24,0,12,2.0
94,111.7,24,0,12,2.0
95,112.0,24,0,12,2.0
96,112.3,24,0,12,2.0
97,112.6,24,0,12,2.0
98,112.9,24,0,12,2.0
99,113.2,24,0,12,1.0
100,113.3,24,0,12,2.0
101,113.7,24,0,12,2.0
102,113.9,24,0,12,1.0
103,114.1,24,0,12,2.0
104,114.6,25,0,8,2.0
105,115.1,25,0,8,2.0
106,115.2,25,0,8,1.0
107,115.6,25,0,8,2.0
108,116.0,25,0,8,2.0
109,116.2,25,0,8,1.0
110,116.8,25,0,8,2.0
111,117.5,25,0,8,2.0
112,117.8,25,0,8,1.0
113,118.1,25,0,8,2.0
114,118.7,26,0,4,2.0
115,119.5,26,0,4,1.0
116,120.1,26,0,8,2.0
117,120.5,26,0,8,1.0
118,121.7,26,0,8,2.0
119,121.8,26,0,8,1.0
120,123.6,27,0,4,2.0
121,123.7,27,0,4,1.0
122,124.6,27,0,8,2.0
123,125.2,27,0,8,1.0
124,125.7,27,0,8,2.0
