,time,down_id,quality,buffer,path:
0,0.0,6,0,0,2.0
1,1.5,4,3,4,2.0
2,4.7,2,2,8,2.0
3,5.2,6,6,8,1.0
4,14.7,4,4,16,2.0
5,26.3,4,0,16,2.0
6,27.8,5,3,16,2.0
7,32.6,1,1,20,2.0
8,35.5,6,0,24,2.0
9,36.5,7,2,20,2.0
10,45.7,8,0,20,2.0
11,47.6,8,6,24,2.0
12,48.0,9,0,24,1.0
13,49.0,10,3,28,1.0
14,53.1,4,5,32,1.0
15,64.6,4,3,32,1.0
16,69.2,10,4,32,1.0
17,83.3,10,0,32,1.0
18,84.5,4,5,32,1.0
19,88.5,3,2,32,2.0
20,94.6,10,3,32,1.0
21,101.3,10,2,32,1.0
22,101.5,7,0,28,2.0
23,103.3,6,4,32,2.0
24,108.4,9,0,28,2.0
25,108.4,5,0,28,1.0
26,108.9,5,6,28,2.0
27,110.8,7,1,24,1.0
28,111.4,9,1,24,2.0
29,112.1,7,0,24,2.0
30,112.5,13,6,24,2.0
31,115.1,14,0,20,1.0
32,115.9,12,1,24,1.0
33,120.1,14,5,24,1.0
34,123.9,13,3,24,2.0
35,129.6,18,6,16,1.0
36,138.5,16,5,16,2.0
37,142.6,15,0,20,2.0
38,143.1,14,4,24,2.0
39,144.7,16,1,24,2.0
40,145.6,13,2,24,2.0
41,146.9,15,5,24,2.0
42,149.1,17,0,24,2.0
43,149.5,11,4,28,2.0
44,152.7,12,3,32,2.0
45,154.1,16,2,28,2.0
46,154.7,19,4,32,1.0
47,155.4,19,5,32,2.0
48,158.7,18,2,32,1.0
49,159.8,14,2,32,1.0
50,160.4,14,4,32,1.0
51,161.1,15,2,28,2.0
52,161.5,21,6,28,1.0
53,162.1,18,1,28,2.0
54,162.4,17,2,32,1.0
55,162.8,21,6,32,2.0
56,163.0,20,2,32,1.0
57,164.7,16,1,28,1.0
58,164.7,16,5,28,2.0
59,165.4,20,4,32,1.0
60,169.7,21,0,28,2.0
