time,bw2
0.05,1355929.6
0.05,1087948.8
0.05,958566.4
0.05,905881.6
0.05,939059.2
0.05,972288.0
0.05,841164.8
0.05,934502.4
0.05,989440.0
0.05,939622.4
0.05,1010073.6
0.05,1043302.4
0.05,1109708.8
0.05,1310720.0
0.05,1693798.4
0.05,1566105.6
0.05,1566105.6
0.05,1172121.6
17.535326925260996,1172121.6
17.535326925260996,1268889.6
17.535326925260996,1335910.4
17.535326925260996,891545.6
17.535326925260996,936192.0
17.535326925260996,707737.6
22.479880659046515,707737.6
22.479880659046515,166604.8
22.479880659046515,524492.8
22.479880659046515,524492.8
22.479880659046515,580044.8
22.479880659046515,174028.8
22.479880659046515,158566.4
22.479880659046515,462643.2
22.479880659046515,602368.0
22.479880659046515,624691.2
22.479880659046515,902400.0
32.691118601418445,902400.0
32.691118601418445,920729.6
32.691118601418445,729497.6
32.691118601418445,1473331.2
32.691118601418445,1434982.4
32.691118601418445,1399449.6
37.939982069293535,1399449.6
37.939982069293535,1393715.2
37.939982069293535,967168.0
37.939982069293535,790784.0
37.939982069293535,849152.0
37.939982069293535,967116.8
37.939982069293535,858931.2
37.939982069293535,1109145.6
37.939982069293535,1504819.2
37.939982069293535,1223680.0
37.939982069293535,850329.6
37.939982069293535,828569.6
37.939982069293535,580044.8
49.307361113072666,580044.8
49.307361113072666,243353.6
49.307361113072666,286873.6
49.307361113072666,160870.4
49.307361113072666,64102.4
49.307361113072666,64102.4
49.307361113072666,59545.6
49.307361113072666,366438.4
49.307361113072666,244480.0
49.307361113072666,658688.0
49.307361113072666,945356.8
49.307361113072666,526233.6
49.307361113072666,1207040.0
49.307361113072666,1509427.2
49.307361113072666,1059891.2
49.307361113072666,1059891.2
49.307361113072666,1419520.0
49.307361113072666,1519155.2
49.307361113072666,1510553.6
49.307361113072666,1007769.6
49.307361113072666,1031270.4
49.307361113072666,1106278.4
49.307361113072666,1476198.4
49.307361113072666,1546035.2
49.307361113072666,1546035.2
73.78966464597961,1546035.2
73.78966464597961,1085644.8
73.78966464597961,1023795.2
73.78966464597961,1765939.2
73.78966464597961,1544908.8
73.78966464597961,1925683.2
73.78966464597961,1867315.2
73.78966464597961,675072.0
80.72008444444445,675072.0
80.72008444444445,1062348.8
80.72008444444445,1062348.8
80.72008444444445,317184.0
80.72008444444445,1269452.8
80.72008444444445,1517977.6
80.72008444444445,481536.0
80.72008444444445,1140633.6
88.70022881093452,606361.6
88.70022881093452,1538611.2
88.70022881093452,1036441.6
88.70022881093452,1036441.6
88.70022881093452,1405184.0
88.70022881093452,649318.4
88.70022881093452,1341644.8
88.70022881093452,1265459.2
88.70022881093452,537651.2
88.70022881093452,670720.0
88.70022881093452,873216.0
88.70022881093452,1598208.0
88.70022881093452,1114316.8
88.70022881093452,957388.8
88.70022881093452,1246566.4
88.70022881093452,1260902.4
88.70022881093452,1820313.6
105.01769126678192,1574092.8
105.01769126678192,747264.0
