time,buffer
0.05,8
0.7659780023781213,8
0.7660780023781213,0
0.7660780023781213,12
1.509173279039975,12
1.509273279039975,16
2.4123997412199634,16
2.4124997412199636,20
3.8391745394056676,20
3.8392745394056678,24
4.739517356999849,24
4.739617356999849,24
4.766078002378121,24
4.766178002378121,12
6.149449468522377,12
6.149549468522377,24
8.76617800237812,24
8.76627800237812,8
9.848967653874414,8
9.849067653874414,24
11.359096102082272,24
11.359196102082272,28
12.76627800237812,28
12.76637800237812,12
16.76637800237812,12
16.76647800237812,8
18.24222162320671,8
18.24232162320671,24
20.76647800237812,24
20.766578002378118,8
24.766578002378118,8
24.766678002378118,4
27.49710481700835,4
27.49720481700835,20
27.586356179928902,20
27.586456179928902,24
28.766678002378118,24
28.766778002378118,8
29.902342389974677,8
29.902442389974677,24
32.76677800237812,24
32.76687800237812,8
36.76687800237812,8
36.766978002378124,4
40.766978002378124,4
40.76707800237813,0
43.87686138233053,0
43.876961382330535,16
44.76707800237813,16
44.817078002378125,16
44.86707800237812,16
44.91707800237812,16
44.967078002378116,16
45.01707800237811,16
45.06707800237811,16
45.11707800237811,16
45.167078002378105,16
45.2170780023781,16
45.2670780023781,16
45.317078002378096,16
45.36707800237809,16
45.41707800237809,16
45.46707800237809,16
45.517078002378085,16
45.56707800237808,16
45.61707800237808,16
45.66707800237808,16
45.717078002378074,16
45.76707800237807,16
45.81707800237807,16
45.867078002378065,16
45.91707800237806,16
45.96707800237806,16
46.01707800237806,16
46.067078002378054,16
46.11707800237805,16
46.16707800237805,16
46.217078002378045,16
46.26707800237804,16
46.31707800237804,16
46.36707800237804,16
46.417078002378034,16
46.46707800237803,16
46.51707800237803,16
46.567078002378025,16
46.61707800237802,16
46.66707800237802,16
46.71707800237802,16
46.767078002378014,16
46.81707800237801,16
46.86707800237801,16
46.917078002378005,16
46.967078002378,16
47.017078002378,16
47.067078002378,16
47.117078002377994,16
47.16707800237799,16
47.21707800237799,16
47.267078002377986,16
47.31707800237798,16
47.36707800237798,16
47.41707800237798,16
47.467078002377974,16
47.51707800237797,16
47.56707800237797,16
47.617078002377966,16
47.66707800237796,16
47.71707800237796,16
47.76707800237796,16
47.817078002377954,16
47.86707800237795,16
47.91707800237795,16
